jahr,region,bundesland_code,icd_code,icd_bezeichnung,sterbefaelle,sterbefaelle_je_100k,sterbefaelle_je_100k_altersstand
2021,Deutschland,DE,,Alle Krankheiten und Folgen äußerer Ursachen,1023687,1230.5,1240.7
2021,Deutschland,DE,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,14870,17.9,18.0
2021,Deutschland,DE,C00-D48,C00-D48 Neubildungen,237160,285.1,287.1
2021,Deutschland,DE,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,4710,5.7,5.7
2021,Deutschland,DE,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",37866,45.5,46.0
2021,Deutschland,DE,F00-F99,F00-F99 Psychische und Verhaltensstörungen,59990,72.1,72.8
2021,Deutschland,DE,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,35778,43.0,43.3
2021,Deutschland,DE,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,340619,409.4,413.3
2021,Deutschland,DE,J00-J99,J00-J99 Krankheiten des Atmungssystems,57316,68.9,69.4
2021,Deutschland,DE,K00-K93,K00-K93 Krankheiten des Verdauungssystems,43717,52.5,53.0
2021,Deutschland,DE,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,1757,2.1,2.1
2021,Deutschland,DE,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,6025,7.2,7.3
2021,Deutschland,DE,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,26272,31.6,31.9
2021,Deutschland,DE,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Deutschland,DE,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",1342,1.6,1.6
2021,Deutschland,DE,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",2127,2.6,2.5
2021,Deutschland,DE,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",38729,46.6,46.9
2021,Deutschland,DE,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",43200,51.9,52.3
2021,Deutschland,DE,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,72181,86.8,87.5
2021,Baden-Württemberg,DE-BW,,Alle Krankheiten und Folgen äußerer Ursachen,119018,1070.9,1132.7
2021,Baden-Württemberg,DE-BW,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,1826,16.4,17.4
2021,Baden-Württemberg,DE-BW,C00-D48,C00-D48 Neubildungen,27086,243.7,258.3
2021,Baden-Württemberg,DE-BW,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,617,5.6,5.9
2021,Baden-Württemberg,DE-BW,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",5021,45.2,47.8
2021,Baden-Württemberg,DE-BW,F00-F99,F00-F99 Psychische und Verhaltensstörungen,7338,66.0,69.8
2021,Baden-Württemberg,DE-BW,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,4370,39.3,41.6
2021,Baden-Württemberg,DE-BW,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,40440,363.9,385.3
2021,Baden-Württemberg,DE-BW,J00-J99,J00-J99 Krankheiten des Atmungssystems,6114,55.0,58.4
2021,Baden-Württemberg,DE-BW,K00-K93,K00-K93 Krankheiten des Verdauungssystems,5493,49.4,52.2
2021,Baden-Württemberg,DE-BW,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,232,2.1,2.2
2021,Baden-Württemberg,DE-BW,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,882,7.9,8.4
2021,Baden-Württemberg,DE-BW,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,2992,26.9,28.5
2021,Baden-Württemberg,DE-BW,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Baden-Württemberg,DE-BW,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",217,2.0,1.8
2021,Baden-Württemberg,DE-BW,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",332,3.0,3.0
